Product,Projected Pillar,pricingdate,Validated Value Projected CV,Outlier,is Auction Date
bond,25Y,11/14/2023,22.341,0.0,0
bond,1W,12/28/2023,30.4651,0.0,0
future,30Y,4/17/2023,22.5047,0.0,1
bond,10Y,7/28/2024,66.3245,0.0,0
bond,40Y,8/9/2025,77.806,0.0,0
future,25Y,9/3/2024,98.519,0.0,1
bond,2Y,6/3/2024,97.0216,0.0,0
bond,30Y,12/24/2024,45.6738,0.0,0
bond,20Y,10/23/2025,97.2481,0.0,0
future,1M,10/3/2025,11.0771,0.0,0
future,1W,3/14/2024,1.7813,0.0,1
future,30Y,1/17/2024,57.6646,0.0,0
bond,1W,3/16/2025,40.659,0.0,0
future,40Y,5/7/2025,70.743,0.0,1
bond,50Y,7/10/2025,38.2732,0.0,0
irdswap,3M,10/19/2023,38.8394,,1
bond,3M,11/14/2023,85.4759,0.0,0
future,30Y,2/14/2024,47.2496,0.0,0
future,1Y,2/15/2025,92.0168,0.0,0
future,30Y,2/19/2024,41.3934,0.0,0
irdswap,20Y,12/31/2024,22.9379,,1
irdswap,1M,3/14/2024,24.4551,,0
bond,2Y,11/19/2024,66.3397,0.0,1
bond,10Y,3/16/2024,21.1651,0.0,0
irdswap,20Y,7/30/2024,8.6585,,0
bond,25Y,3/23/2024,84.1124,0.0,1
future,50Y,7/1/2024,64.9394,1.0,1
future,40Y,7/1/2024,34.8383,0.0,0
future,50Y,10/30/2025,43.9765,0.0,0
bond,1W,10/30/2024,17.888,0.0,0
future,15Y,8/28/2024,70.2468,0.0,1
future,1W,6/15/2025,59.5514,0.0,1
bond,30Y,4/20/2024,99.2251,0.0,1
bond,25Y,12/22/2024,84.7133,0.0,0
irdswap,15Y,4/28/2025,74.6288,,1
irdswap,10Y,10/28/2024,73.7388,,0
bond,20Y,2/19/2024,94.1183,0.0,0
irdswap,20Y,3/2/2024,61.8988,,1
bond,15Y,7/10/2025,29.0823,0.0,1
irdswap,3M,9/22/2024,98.436,,0
future,1Y,2/25/2025,1.374,0.0,1
bond,1Y,12/19/2023,1.4591,0.0,0
future,2Y,2/14/2024,16.6891,0.0,1
future,1W,12/9/2025,52.3373,0.0,0
irdswap,1W,10/19/2023,82.5737,,0
bond,20Y,1/1/2023,16.9433,0.0,0
bond,15Y,4/6/2024,36.6749,0.0,0
future,40Y,4/20/2023,33.407,0.0,0
future,40Y,3/5/2025,78.3804,0.0,1
future,10Y,6/17/2025,70.6099,0.0,0
bond,3M,6/7/2023,67.9452,0.0,0
bond,20Y,11/15/2023,51.6045,0.0,0
irdswap,1W,12/31/2024,40.3303,,0
bond,1W,6/9/2024,28.7103,0.0,1
bond,100Y,1/20/2024,93.2749,1.0,0
bond,20Y,12/30/2024,77.0228,0.0,0
bond,3M,8/24/2024,64.076,0.0,0
future,15Y,2/15/2025,78.2622,0.0,0
irdswap,25Y,2/16/2023,56.2546,,0
irdswap,1Y,9/13/2025,46.4506,,0
irdswap,1M,4/2/2025,55.0164,,0
irdswap,15Y,4/2/2025,68.5191,,0
bond,100Y,11/25/2025,87.3873,0.0,0
bond,1W,7/20/2023,75.4067,0.0,1
future,100Y,8/24/2024,73.4658,0.0,1
future,3M,6/7/2023,95.3164,0.0,1
irdswap,25Y,10/27/2023,27.4286,,1
irdswap,30Y,2/26/2025,51.2963,,1
bond,1M,10/23/2025,80.8331,0.0,1
irdswap,100Y,5/24/2025,68.2634,,1
bond,1M,11/15/2023,78.9271,0.0,1
bond,20Y,4/20/2023,92.9525,0.0,1
bond,2Y,9/21/2023,7.1096,0.0,1
future,50Y,8/13/2024,39.5286,0.0,1
bond,15Y,12/21/2025,87.7703,1.0,1
irdswap,1Y,7/10/2025,22.513,,1
future,2Y,1/17/2024,70.4728,0.0,0
bond,25Y,6/17/2025,53.7874,0.0,1
irdswap,20Y,4/25/2024,11.7832,,0
irdswap,1Y,9/21/2025,50.9102,,1
irdswap,50Y,11/13/2024,93.8298,,1
bond,1Y,1/26/2025,94.4971,0.0,0
future,50Y,6/29/2024,9.927,0.0,1
irdswap,1Y,3/21/2024,84.5757,,0
bond,15Y,10/21/2025,25.4179,0.0,1
irdswap,15Y,2/27/2025,8.0086,,1
future,100Y,4/28/2024,44.1117,0.0,1
future,30Y,1/26/2023,48.7336,0.0,1
irdswap,1M,9/13/2025,99.4811,,0
irdswap,1Y,8/23/2024,75.4881,,1
bond,1M,7/1/2023,59.2471,0.0,1
bond,100Y,5/5/2024,93.7402,0.0,0
irdswap,3M,1/26/2024,68.1514,,1
bond,40Y,5/28/2023,61.9225,0.0,1
bond,10Y,9/5/2025,92.185,0.0,0
future,40Y,12/24/2024,71.8867,0.0,0
irdswap,15Y,12/21/2023,12.4755,,1
bond,3M,10/30/2025,58.2761,0.0,1
future,30Y,4/26/2024,79.4787,0.0,0
future,100Y,1/6/2023,69.24,1.0,0
irdswap,40Y,8/22/2024,25.2211,,0
future,25Y,1/21/2025,84.3098,0.0,0
bond,30Y,2/2/2025,17.8207,1.0,0
bond,1M,4/25/2024,99.5699,0.0,1
bond,2Y,4/6/2024,89.0162,1.0,1
bond,2Y,6/29/2024,53.7443,0.0,1
future,25Y,11/10/2025,9.402,0.0,0
irdswap,3M,5/14/2023,81.2354,,0
future,3M,6/12/2023,67.4867,0.0,0
future,50Y,7/20/2024,32.2407,0.0,0
bond,25Y,8/28/2024,32.6231,0.0,0
bond,2Y,8/29/2025,42.634,0.0,1
bond,2Y,10/4/2025,85.8636,0.0,0
bond,25Y,12/31/2024,66.0009,0.0,1
future,25Y,8/1/2025,96.4994,0.0,1
bond,15Y,3/5/2025,73.5683,1.0,1
future,30Y,1/20/2024,58.4168,0.0,1
bond,1M,12/15/2023,99.8212,0.0,1
future,2Y,4/20/2023,99.9874,0.0,0
future,1W,3/8/2025,16.7495,0.0,1
future,1W,6/3/2024,98.238,0.0,1
irdswap,30Y,11/1/2025,37.8676,,1
irdswap,1Y,10/11/2025,60.8005,,0
future,1W,12/7/2024,83.5431,0.0,1
bond,2Y,7/29/2024,24.4226,0.0,1
irdswap,40Y,1/14/2025,58.7749,,1
future,50Y,8/18/2024,85.9805,0.0,1
bond,2Y,12/30/2024,79.3574,0.0,0
bond,2Y,1/1/2023,37.667,0.0,1
future,20Y,4/28/2025,73.7268,0.0,1
irdswap,40Y,1/17/2024,25.4893,,0
irdswap,1Y,10/28/2024,36.6779,,0
irdswap,1M,7/30/2024,72.5182,,1
bond,30Y,11/25/2025,72.2128,0.0,0
future,1W,12/20/2025,13.0117,0.0,0
bond,3M,7/12/2025,48.2117,0.0,1
bond,10Y,7/29/2024,54.7071,0.0,1
bond,1Y,1/12/2025,18.8096,0.0,1
bond,15Y,11/16/2024,72.2177,0.0,1
bond,15Y,1/20/2025,97.4257,0.0,0
future,40Y,6/7/2023,45.2015,0.0,1
irdswap,1Y,7/1/2024,2.5614,,0
future,3M,12/10/2023,48.2333,0.0,1
future,50Y,7/2/2023,96.2176,1.0,1
irdswap,3M,8/13/2024,85.699,,0
future,100Y,9/29/2024,35.9264,0.0,0
future,20Y,9/21/2023,15.4959,0.0,0
future,100Y,1/22/2025,51.0192,0.0,0
irdswap,2Y,4/28/2024,80.1051,,1
irdswap,15Y,7/1/2024,30.6728,,0
bond,1W,4/11/2023,38.4512,0.0,0
bond,50Y,11/4/2023,64.0529,0.0,1
irdswap,50Y,5/5/2025,55.7546,,0
bond,1M,9/5/2023,52.2445,0.0,0
irdswap,100Y,12/22/2024,24.488,,0
bond,30Y,7/30/2024,9.0739,0.0,0
future,25Y,7/15/2024,75.8795,0.0,0
bond,15Y,9/5/2023,46.8467,0.0,0
irdswap,2Y,5/2/2023,59.3513,,1
irdswap,30Y,12/9/2025,57.8776,,1
bond,1Y,4/28/2024,11.0328,0.0,1
future,1Y,10/23/2025,26.5079,0.0,1
future,2Y,8/26/2023,7.1461,0.0,1
future,1M,10/11/2024,0.9209,0.0,1
bond,3M,8/1/2025,35.4034,0.0,1
future,25Y,1/26/2023,90.6135,0.0,0
irdswap,15Y,3/18/2024,60.5922,,0
future,50Y,9/14/2023,17.8141,0.0,1
bond,100Y,5/1/2025,28.8163,0.0,1
irdswap,3M,3/16/2025,5.7516,,0
irdswap,10Y,4/4/2025,18.6287,,0
bond,40Y,3/14/2024,77.4503,0.0,1
future,100Y,5/1/2025,85.5665,0.0,1
irdswap,20Y,6/12/2023,90.6818,,1
irdswap,40Y,3/2/2025,71.9419,,1
irdswap,1M,5/28/2023,18.9103,,0
future,1M,8/28/2024,31.0851,0.0,0
future,25Y,7/1/2024,62.7202,0.0,0
bond,40Y,8/26/2023,28.2016,0.0,1
irdswap,10Y,9/22/2024,52.2016,,0
irdswap,15Y,3/21/2024,4.3746,,0
irdswap,1Y,5/28/2023,68.8693,,1
irdswap,40Y,7/5/2023,13.8009,,0
future,50Y,4/20/2024,81.3547,0.0,0
irdswap,2Y,4/10/2025,74.8466,,1
irdswap,1M,11/1/2025,77.3607,,1
bond,15Y,6/29/2024,93.1148,0.0,1
irdswap,1Y,2/2/2025,47.8479,,0
irdswap,10Y,4/28/2025,81.8955,,1
irdswap,30Y,12/21/2025,24.0512,,0
future,2Y,3/16/2024,36.7511,0.0,1
future,100Y,1/26/2025,53.7077,1.0,1
bond,2Y,11/13/2024,34.0588,0.0,0
irdswap,2Y,1/20/2024,50.8525,,0
future,25Y,4/4/2023,70.3537,0.0,1
future,1M,9/14/2023,94.3149,0.0,0
future,100Y,10/18/2025,89.3943,0.0,1
irdswap,1W,4/20/2023,26.3316,,0
irdswap,50Y,4/20/2024,35.6717,,0
irdswap,10Y,3/16/2025,40.5751,,1
irdswap,1M,7/20/2023,27.5007,,1
irdswap,10Y,3/10/2023,17.2314,,1
bond,50Y,8/19/2024,69.0125,0.0,1
future,1W,6/3/2023,47.8078,0.0,1
irdswap,25Y,3/21/2024,49.2037,,0
bond,20Y,9/22/2024,39.5396,0.0,1
irdswap,20Y,7/20/2023,94.3564,,0
bond,1W,5/24/2025,11.9528,0.0,0
bond,3M,3/13/2025,57.4466,1.0,1
bond,40Y,8/26/2024,50.1393,0.0,0
irdswap,25Y,7/10/2025,40.777,,1
bond,10Y,4/20/2024,15.2879,0.0,1
bond,10Y,7/15/2024,33.5587,0.0,1
bond,30Y,4/28/2024,7.576,1.0,0
future,50Y,7/1/2023,23.4267,0.0,0
bond,10Y,8/13/2024,47.0613,0.0,1
future,2Y,12/1/2024,90.2311,0.0,1
irdswap,100Y,2/9/2023,92.8055,,0
irdswap,15Y,7/17/2025,93.1822,,0
bond,2Y,5/5/2025,56.16,0.0,1
irdswap,25Y,9/21/2023,24.8425,,0
bond,1Y,2/19/2024,59.1003,0.0,0
bond,15Y,4/17/2023,75.811,0.0,1
irdswap,15Y,10/16/2024,25.1478,,1
irdswap,40Y,5/24/2025,38.1136,,1
bond,30Y,6/8/2025,88.5915,0.0,1
irdswap,1Y,8/1/2024,28.7922,,1
future,1W,7/1/2024,9.7514,0.0,1
bond,50Y,4/20/2023,24.2949,0.0,0
irdswap,40Y,1/21/2025,47.5803,,0
future,20Y,6/17/2025,16.7315,0.0,0
future,25Y,2/26/2025,64.0268,0.0,0
irdswap,30Y,10/13/2024,13.241,,0
bond,100Y,12/28/2023,3.8095,0.0,1
bond,50Y,1/23/2024,22.7696,0.0,1
future,40Y,12/8/2023,42.8654,0.0,0
irdswap,10Y,8/3/2025,57.2448,,1
future,50Y,4/17/2023,45.4519,0.0,1
future,15Y,9/22/2024,57.1472,0.0,0
bond,2Y,6/19/2025,51.8895,0.0,1
bond,2Y,5/11/2025,35.7195,0.0,1
future,30Y,2/1/2025,24.5407,0.0,0
bond,10Y,4/18/2024,61.1908,0.0,1
future,20Y,4/18/2024,14.1742,0.0,0
irdswap,25Y,2/9/2023,69.7737,,1
irdswap,50Y,1/23/2024,1.7488,,1
bond,40Y,9/5/2025,2.9717,1.0,0
future,1M,1/23/2024,59.6855,0.0,0
future,1W,9/21/2023,53.1535,0.0,0
irdswap,20Y,12/30/2024,69.9778,,1
bond,1M,3/16/2025,38.9046,0.0,1
irdswap,3M,4/25/2023,58.2643,,1
bond,10Y,11/7/2023,54.4859,0.0,1
future,15Y,12/22/2024,80.2788,0.0,1
future,50Y,1/22/2025,79.8166,0.0,0
irdswap,15Y,10/26/2025,70.11,,0
bond,100Y,4/24/2024,54.6294,0.0,1
irdswap,20Y,10/13/2024,36.4086,,1
bond,25Y,4/28/2025,81.9517,0.0,0
future,50Y,11/16/2024,82.6517,0.0,0
future,3M,7/11/2023,39.0263,0.0,1
bond,1Y,6/2/2023,2.3428,0.0,0
bond,50Y,11/7/2023,12.9733,0.0,1
bond,10Y,7/6/2025,25.1484,0.0,1
future,50Y,10/28/2024,93.761,0.0,1
future,40Y,7/6/2025,74.1988,1.0,0
future,2Y,11/4/2023,55.787,0.0,0
bond,10Y,8/28/2024,41.5042,0.0,1
irdswap,40Y,10/28/2024,3.4732,,0
future,1Y,6/12/2023,74.4427,0.0,1
irdswap,15Y,8/24/2024,67.7651,,1
irdswap,1Y,2/25/2025,14.0902,,0
future,40Y,12/21/2023,90.1916,0.0,1
bond,30Y,8/22/2024,98.3139,0.0,1
future,1M,4/4/2023,43.8136,0.0,0
future,3M,5/28/2023,22.1503,0.0,0
irdswap,100Y,3/16/2024,61.736,,1
bond,1M,7/20/2024,64.9066,0.0,0
bond,25Y,6/15/2025,67.1435,0.0,1
irdswap,3M,7/10/2025,35.5352,,0
irdswap,3M,11/9/2023,64.8764,,0
irdswap,15Y,8/26/2024,32.6111,,1
future,1W,8/29/2024,90.2262,1.0,1
future,1W,10/16/2024,40.7354,0.0,0
bond,100Y,2/16/2023,24.4205,0.0,0
irdswap,100Y,11/16/2024,4.4892,,0
bond,50Y,9/5/2025,6.4703,0.0,1
irdswap,25Y,5/24/2025,48.2142,,0
bond,30Y,7/29/2024,49.174,0.0,0
bond,30Y,12/9/2025,27.2243,0.0,1
bond,40Y,8/3/2024,61.9544,0.0,0
bond,1W,9/14/2023,1.4412,0.0,1
irdswap,1W,7/28/2024,33.4227,,1
irdswap,20Y,11/4/2023,3.5172,,0
future,15Y,11/1/2025,92.0961,0.0,1
irdswap,10Y,4/18/2024,55.923,,1
irdswap,10Y,1/31/2024,72.2041,,1
bond,20Y,12/21/2025,64.7966,0.0,0
future,10Y,6/9/2024,50.0915,1.0,1
bond,1W,10/3/2025,89.1715,0.0,0
future,25Y,8/1/2024,95.154,0.0,0
future,10Y,10/18/2025,44.9127,0.0,1
bond,50Y,8/3/2024,93.3888,0.0,0
future,3M,8/1/2024,8.3824,0.0,0
bond,15Y,12/4/2023,30.0278,0.0,1
bond,1M,1/3/2025,46.9117,0.0,1
bond,40Y,11/13/2024,81.6759,0.0,1
bond,3M,11/20/2025,91.7327,0.0,0
irdswap,50Y,3/2/2024,87.1167,,0
irdswap,25Y,5/5/2023,58.9738,,1
bond,15Y,9/18/2024,58.3488,0.0,0
irdswap,40Y,12/8/2023,5.4667,,0
future,1W,9/5/2023,46.9246,0.0,0
irdswap,30Y,9/5/2025,69.6361,,1
future,1Y,2/27/2025,13.7264,0.0,1
future,15Y,9/21/2023,9.5992,0.0,1
bond,50Y,7/1/2024,72.66,0.0,0
irdswap,50Y,2/14/2024,46.3749,,0
bond,2Y,4/4/2025,67.1223,0.0,1
irdswap,100Y,11/1/2025,60.3662,,0
future,2Y,8/1/2025,51.4816,0.0,0
bond,50Y,9/18/2024,96.2259,0.0,1
bond,25Y,1/22/2025,76.1008,1.0,1
irdswap,1W,12/14/2025,21.982,,0
bond,25Y,3/23/2023,24.2677,1.0,0
irdswap,10Y,11/15/2024,74.5262,,1
irdswap,30Y,10/3/2023,27.2515,,0
irdswap,2Y,8/22/2024,73.1322,,0
future,100Y,11/20/2025,5.9056,0.0,1
future,3M,12/12/2023,18.9714,0.0,0
bond,1M,4/20/2023,69.4554,0.0,1
future,30Y,10/4/2025,53.6862,0.0,0
bond,25Y,2/16/2023,63.6959,0.0,1
bond,3M,12/12/2023,1.8737,0.0,1
irdswap,15Y,12/31/2024,85.0552,,1
future,3M,2/19/2023,2.2581,0.0,1
future,1M,2/16/2024,46.8966,0.0,1
future,40Y,2/18/2024,28.8105,0.0,1
bond,15Y,6/3/2024,92.1742,0.0,1
future,2Y,12/24/2024,99.0906,0.0,0
irdswap,50Y,6/15/2025,96.1249,,0
bond,10Y,11/13/2024,78.3977,1.0,1
bond,30Y,9/22/2024,12.6216,0.0,1
irdswap,3M,5/7/2025,69.1021,,0
future,50Y,4/24/2024,11.9513,1.0,1
future,1M,1/18/2023,0.6219,0.0,1
bond,1Y,4/25/2024,40.5714,0.0,0
bond,10Y,10/16/2024,4.7572,0.0,0
future,1W,11/10/2025,1.9248,0.0,0
bond,1Y,6/12/2023,97.6628,0.0,0
bond,25Y,9/14/2023,33.2855,1.0,1
irdswap,40Y,4/9/2025,37.5401,,0
bond,1M,4/11/2023,47.6169,0.0,0
irdswap,50Y,6/10/2024,18.6936,,1
irdswap,1W,7/1/2023,66.2876,,1
future,30Y,2/15/2025,79.413,0.0,0
bond,1M,10/26/2025,26.8385,0.0,1
future,40Y,12/13/2025,3.984,0.0,0
irdswap,3M,3/5/2025,22.8579,,1
bond,2Y,8/1/2024,99.025,1.0,0
bond,20Y,6/7/2023,98.1619,0.0,0
bond,20Y,12/22/2024,28.7965,0.0,1
irdswap,1Y,8/18/2024,17.2681,,1
future,20Y,5/13/2023,3.3757,0.0,1
future,15Y,3/2/2025,41.2503,0.0,1
irdswap,40Y,8/1/2024,22.3619,,1
bond,1M,3/23/2024,87.0731,0.0,0
irdswap,2Y,2/19/2024,43.9814,,1
bond,40Y,12/7/2024,6.0588,0.0,0
irdswap,1Y,11/13/2024,50.5497,,0
irdswap,50Y,4/4/2023,89.3704,,0
future,15Y,4/24/2024,59.1733,1.0,0
future,25Y,12/4/2023,95.9798,0.0,0
irdswap,50Y,5/5/2024,85.1057,,1
bond,30Y,6/12/2023,25.1269,0.0,0
irdswap,20Y,4/4/2023,28.3341,,0
future,15Y,4/28/2024,26.7482,0.0,0
future,1Y,2/3/2024,56.3201,0.0,1
bond,2Y,2/18/2024,97.9894,1.0,0
bond,1W,10/19/2023,20.5868,0.0,0
bond,1Y,7/13/2024,57.6135,0.0,0
bond,1M,10/27/2023,50.2514,0.0,1
bond,1Y,12/1/2024,55.8044,0.0,0
future,3M,3/16/2024,42.5986,1.0,1
future,10Y,10/24/2023,29.7327,0.0,0
future,2Y,11/13/2024,8.3506,0.0,0
irdswap,10Y,3/23/2024,1.8655,,0
future,2Y,3/5/2025,75.0491,0.0,0
bond,1M,8/29/2024,13.8438,0.0,0
irdswap,50Y,5/6/2024,90.8227,,1
future,1M,12/1/2024,42.875,0.0,0
future,30Y,2/26/2025,48.9941,0.0,1
future,10Y,6/17/2023,56.8106,1.0,0
irdswap,10Y,2/15/2025,4.5947,,0
future,1M,5/5/2023,72.6109,0.0,0
irdswap,30Y,2/16/2024,84.7526,,1
bond,100Y,4/18/2024,30.9944,0.0,0
irdswap,25Y,8/28/2023,74.7384,,1
future,2Y,11/20/2025,78.8828,0.0,1
future,1Y,1/20/2024,21.8173,0.0,0
irdswap,20Y,5/14/2023,98.6118,,0
future,100Y,8/26/2023,60.911,0.0,0
future,30Y,10/11/2025,52.6499,0.0,0
future,1W,3/23/2023,0.9536,0.0,0
irdswap,25Y,4/17/2023,37.5998,,0
irdswap,40Y,8/26/2024,47.4126,,0
bond,100Y,11/13/2024,13.2859,0.0,1
future,40Y,1/12/2025,83.3212,1.0,1
future,100Y,8/6/2024,33.9253,0.0,1
irdswap,100Y,12/9/2025,28.4804,,0
bond,1M,9/21/2023,89.8222,0.0,1
bond,10Y,1/22/2025,11.2746,0.0,0
irdswap,40Y,8/26/2023,19.8204,,0
irdswap,20Y,8/19/2024,38.4052,,1
irdswap,20Y,7/17/2025,7.9378,,1
irdswap,25Y,11/5/2024,81.3523,,1
bond,1Y,5/30/2024,10.0532,0.0,0
irdswap,2Y,9/19/2024,55.8011,,1
future,10Y,2/24/2025,42.8409,0.0,0
irdswap,1Y,2/1/2025,79.8746,,0
bond,1M,2/3/2024,74.164,0.0,1
irdswap,15Y,9/18/2024,87.134,,1
bond,2Y,4/4/2023,82.1556,0.0,1
bond,30Y,1/22/2025,65.6927,0.0,1
future,10Y,4/9/2025,64.5727,0.0,1
future,15Y,10/18/2025,5.0392,0.0,0
irdswap,20Y,8/9/2025,59.8842,,0
irdswap,40Y,8/6/2024,23.6627,,0
irdswap,2Y,8/26/2023,39.343,,0
irdswap,1Y,7/6/2025,89.8319,,0
bond,1M,4/6/2024,63.0448,0.0,0
bond,1W,3/14/2024,84.6144,0.0,0
future,40Y,5/11/2025,85.7842,0.0,1
future,10Y,8/28/2023,11.516,0.0,1
bond,1Y,2/14/2024,31.1878,0.0,1
irdswap,2Y,10/19/2025,52.3004,,1
bond,1W,10/11/2024,94.6317,0.0,0
bond,25Y,1/6/2023,29.0991,0.0,0
irdswap,2Y,6/2/2023,25.8292,,1
future,10Y,3/14/2024,25.142,1.0,0
irdswap,10Y,8/1/2024,35.4521,,1
irdswap,1M,7/11/2023,13.5079,,1
future,2Y,11/10/2025,33.1819,1.0,0
bond,25Y,7/13/2024,18.0065,0.0,0
irdswap,15Y,5/24/2025,85.0729,,1
future,1W,4/28/2025,63.1416,0.0,0
future,30Y,6/16/2025,61.357,0.0,1
irdswap,40Y,4/29/2024,42.1809,,0
bond,30Y,3/13/2025,88.4457,0.0,1
future,20Y,2/16/2024,46.2429,0.0,0
future,20Y,7/12/2025,7.2133,0.0,0
future,40Y,12/1/2024,46.4108,0.0,1
bond,20Y,4/26/2024,86.8423,0.0,0
future,3M,12/21/2025,17.4312,0.0,0
bond,2Y,4/28/2025,45.2339,0.0,0
bond,1Y,8/1/2024,34.9351,0.0,1
bond,15Y,12/19/2023,15.2031,0.0,1
future,2Y,8/18/2024,29.777,0.0,0
bond,25Y,1/18/2023,45.6821,0.0,1
future,3M,4/11/2023,29.275,0.0,1
bond,3M,1/21/2025,53.3559,1.0,1
future,2Y,10/3/2023,70.633,0.0,1
irdswap,20Y,6/10/2024,57.7327,,1
irdswap,40Y,6/17/2023,89.1202,,1
irdswap,2Y,10/27/2023,91.3764,,0
future,1Y,5/5/2024,75.1357,0.0,0
bond,1Y,5/6/2024,5.429,0.0,0
irdswap,40Y,9/18/2024,27.8215,,0
bond,1W,5/5/2024,63.487,0.0,1
irdswap,25Y,12/20/2025,73.592,,1
irdswap,25Y,2/27/2025,39.9982,,0
future,20Y,10/28/2024,34.2746,0.0,0
future,15Y,11/10/2025,74.1971,0.0,1
future,20Y,9/5/2023,28.5529,0.0,1
bond,50Y,5/14/2023,55.6468,0.0,0
irdswap,3M,11/25/2025,55.6851,,0
bond,40Y,2/3/2024,45.4472,0.0,0
bond,25Y,1/23/2024,10.5996,0.0,0
future,1Y,11/16/2024,40.9005,0.0,0
bond,3M,5/1/2025,30.4212,0.0,0
irdswap,50Y,3/23/2024,44.2579,,1
irdswap,50Y,6/16/2025,2.4616,,0
bond,40Y,4/20/2023,37.3572,0.0,0
irdswap,40Y,8/3/2024,2.1259,,0
bond,40Y,4/26/2024,93.6927,0.0,1
bond,50Y,8/26/2023,1.5082,0.0,0
irdswap,10Y,1/20/2025,29.96,,1
irdswap,40Y,12/1/2024,32.4237,,0
bond,1Y,5/1/2025,59.0375,0.0,1
irdswap,1Y,11/1/2025,17.0534,,1
bond,3M,4/4/2023,11.2706,1.0,1
bond,100Y,1/6/2023,10.7268,0.0,1
bond,25Y,3/21/2024,98.4061,1.0,0
future,2Y,2/27/2025,1.8339,0.0,0
irdswap,10Y,5/5/2023,83.876,,0
future,25Y,3/16/2025,54.7351,0.0,1
irdswap,2Y,5/30/2024,71.574,,1
irdswap,3M,1/12/2025,99.0668,,0
future,30Y,7/10/2025,57.1671,0.0,1
bond,1Y,4/25/2025,69.0853,0.0,1
irdswap,3M,4/18/2024,87.8096,,1
bond,25Y,8/28/2023,23.9782,0.0,0
bond,50Y,7/12/2025,12.6525,0.0,0
bond,1M,1/26/2025,71.6091,0.0,1
bond,3M,10/18/2025,72.2804,0.0,0
bond,25Y,2/19/2024,42.011,0.0,0
irdswap,50Y,5/2/2023,57.031,,1
future,25Y,7/28/2024,66.6455,0.0,1
bond,20Y,6/16/2023,81.4512,0.0,1
irdswap,20Y,1/22/2025,11.0632,,0
bond,10Y,10/23/2025,34.0677,0.0,0
bond,50Y,4/11/2023,7.8803,0.0,0
future,10Y,5/6/2024,49.6683,0.0,0
future,25Y,12/17/2023,27.2386,0.0,1
irdswap,50Y,10/19/2025,57.8977,,0
irdswap,20Y,4/10/2025,28.6494,,0
future,2Y,1/1/2023,46.6989,0.0,1
bond,25Y,4/25/2025,57.6843,0.0,0
future,25Y,12/7/2024,54.1157,0.0,0
future,15Y,5/14/2023,4.1094,0.0,0
irdswap,100Y,12/17/2023,65.795,,0
irdswap,20Y,8/24/2024,35.3787,,0
future,1M,6/29/2024,28.4489,0.0,1
irdswap,1W,10/24/2023,67.3991,,1
future,15Y,11/15/2024,55.9644,0.0,1
irdswap,50Y,4/17/2023,26.178,,0
irdswap,30Y,6/22/2024,96.0692,,0
bond,50Y,1/26/2024,86.6398,1.0,0
bond,50Y,6/2/2023,15.0991,0.0,1
irdswap,30Y,3/16/2024,85.798,,0
bond,30Y,10/18/2025,56.103,0.0,0
irdswap,40Y,7/20/2024,68.0,,1
future,50Y,4/10/2025,39.0997,0.0,1
future,100Y,5/30/2024,52.2959,1.0,0
irdswap,40Y,11/9/2023,69.7873,,0
irdswap,3M,8/6/2024,78.0715,,1
bond,100Y,4/11/2023,81.1896,0.0,0
bond,50Y,10/26/2025,38.3223,0.0,1
future,1Y,4/4/2023,58.5362,0.0,1
future,1W,10/13/2024,32.037,0.0,1
bond,100Y,7/6/2025,73.4443,0.0,1
future,1Y,11/25/2025,79.0217,0.0,0
irdswap,1M,5/24/2025,14.5969,,0
future,20Y,2/2/2025,10.1479,0.0,1
bond,1W,12/14/2025,73.2721,1.0,1
irdswap,1M,4/28/2025,99.2961,,0
bond,50Y,1/21/2025,86.1979,0.0,0
irdswap,40Y,8/28/2024,64.0782,,1
future,1W,2/19/2024,76.9381,0.0,0
future,30Y,7/2/2023,64.6519,0.0,0
irdswap,50Y,7/29/2024,74.3293,,1
irdswap,3M,2/16/2023,7.7248,,0
irdswap,15Y,6/17/2023,44.8266,,0
future,20Y,12/4/2023,89.8742,0.0,1
bond,25Y,10/28/2024,45.3158,0.0,1
irdswap,1W,3/16/2025,7.8423,,1
bond,40Y,6/10/2024,68.7046,0.0,0
future,1M,3/21/2024,3.0994,0.0,0
irdswap,1Y,10/30/2024,97.4806,,0
future,10Y,11/16/2024,88.5684,0.0,0
irdswap,100Y,1/31/2024,36.4548,,1
irdswap,3M,2/27/2025,24.3469,,1
bond,10Y,11/25/2025,96.7138,0.0,0
irdswap,30Y,12/8/2023,34.1113,,1
future,1Y,7/11/2023,21.2566,0.0,0
irdswap,40Y,11/25/2025,85.5701,,0
future,40Y,2/26/2025,62.8026,0.0,1
irdswap,25Y,9/14/2023,47.8816,,0
irdswap,2Y,6/3/2023,86.411,,0
irdswap,30Y,5/13/2023,83.4464,,0
bond,10Y,3/23/2024,33.4831,0.0,0
bond,1M,4/20/2024,97.2453,0.0,1
irdswap,100Y,4/16/2023,25.6179,,1
future,20Y,7/30/2024,98.2179,0.0,1
future,100Y,7/20/2023,72.4202,0.0,0
irdswap,25Y,4/6/2024,86.156,,1
bond,100Y,10/23/2025,40.8201,0.0,0
irdswap,50Y,10/30/2025,77.0282,,0
future,1Y,11/15/2023,11.9033,1.0,0
irdswap,30Y,9/13/2025,60.7566,,1
